14;GUEST;05/03/2026 16:05:51 CET;05/03/2026 16:06:01 CET;10;4;Q2;;;desktop;1;2;24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;GUEST;05/03/2026 14:46:45 CET;<unknown>;0;0;q20br.17;;;desktop;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61;;56;64;60;;62;;;;;67;64;;;62;63;59;61;;63;;;;60;;;58;61;;;;66;;;;;;;;;;;;;;;63;;;;;;;;;;67;61;;;;;;
3;GUEST;05/03/2026 14:40:32 CET;<unknown>;0;0;persSelez;2;1;desktop;1;1;44;4;1;4;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;7;2;;3;;1;;;;;;;;;;;;2;;;;0;0;0;0;0;0;0;0;0;0;0,1,3,2,4;2;;2;;;;;2;;;;;3;;;;;3;;;;;3;;;;;2;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;GUEST;05/03/2026 15:17:21 CET;05/03/2026 15:24:15 CET;414;3;Q26;2;1;desktop;1;1;25;3;4;4;2;;;;;;;1;3;0;0;0;0;0;0;0;0;0;0;1;0;10;1;;3;0;1;2;3;4;5;;;;;;;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1,2,4,0,3;2;1;1;1;1;1;2;2;2;2;2;3;2;2;2;2;2;3;3;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;3;49;;56;51;47;;57;;;;;52;47;;;49;47;53;52;;50;;;;48;;;55;49;;52;;51;49;50;;53;;;;;54;50;;;51;51;51;50;;49;;;;57;;;44;48;;2;17;15;2;3
10;GUEST;05/03/2026 15:35:11 CET;05/03/2026 15:38:48 CET;217;3;Q26;1;0;mobile;1;1;33;3;4;4;2;;;;;;;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;;2;1;;;;;;;1;7;7;7;7;7;1;;;;;0;0;0;0;0;0;0;0;0;0;4,3,0,2,1;1;2;;;;;2;;;;;2;;;;;3;;;;;2;;;;;2;;;;;2;;;;;55;;46;54;53;;56;;;;;68;52;;;57;53;56;42;;58;;;;57;;;51;51;;73;;76;84;62;;63;;;;;59;73;;;82;55;82;54;;55;;;;63;;;55;49;;3;18;19;5;2
6;GUEST;05/03/2026 14:51:29 CET;<unknown>;0;0;q20br.18;;;desktop;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;;52;59;41;;47;;;;;60;58;;;52;58;58;48;;58;;;;58;;;53;58;;;;;;;;;;;;;;;;;;;;59;;;;;;;;;;;;;;;;
15;GUEST;05/03/2026 16:06:05 CET;05/03/2026 16:08:09 CET;124;3;Q26;4;3;desktop;1;1;25;3;2;4;1;0;1;0;0;0;1;1;3;0;0;0;0;0;0;0;0;1;0;1;0;8;3;;3;;;;3;4;;;;;;;;;;;1;5;0;0;0;0;0;0;0;0;0;0;4,3,2,0,1;4;;;;1;;;;;2;;;;;2;;;;;3;;;;;4;;;;;2;;;;;3;;49;;50;48;52;;47;;;;;49;48;;;48;51;51;70;;51;;;;50;;;49;51;;52;;54;52;52;;52;;;;;50;50;;;52;52;51;51;;52;;;;50;;;50;52;;2;11;19;3;3
8;GUEST;05/03/2026 14:56:27 CET;05/03/2026 14:57:29 CET;62;3;Q26;;;desktop;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62;;77;76;75;;79;;;;;76;62;;;68;73;76;76;;78;;;;73;;;78;70;;59;;69;70;68;;70;;;;;69;73;;;67;72;75;71;;71;;;;69;;;61;71;;1;16;14;3;1
12;GUEST;05/03/2026 15:39:52 CET;05/03/2026 15:40:01 CET;9;4;Q2;;;mobile;1;1;55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;GUEST;05/03/2026 15:40:06 CET;05/03/2026 15:43:29 CET;203;3;Q26;3;2;mobile;1;2;54;5;7;3;1;0;0;1;0;0;2;1;3;0;0;0;1;1;0;0;0;0;0;0;0;4;3;;3;;;;;;;3;3;3;3;3;3;;;1;;;0;0;0;0;0;0;0;0;0;0;3,4,2,0,1;3;;;2;;;;;3;;;;;4;;;;;3;;;;;3;;;;;3;;;;;3;;;55;;58;54;64;;67;;;;;54;65;;;56;56;56;51;;56;;;;55;;;59;49;;57;;76;54;62;;63;;;;;57;64;;;53;61;62;71;;52;;;;63;;;52;68;;2;17;14;2;3
4;GUEST;05/03/2026 14:43:28 CET;<unknown>;0;0;persSelez;2;1;desktop;1;1;44;4;1;4;1;1;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;5;2;;3;3;1;;;;;;;;;;;;3;;;;0;0;0;0;0;0;0;0;0;0;1,2,4,3,0;2;;1;;;;;3;;;;;2;;;;;3;;;;;3;;;;;2;;;;;3;;;;59;;47;70;49;;65;;;;;55;67;;;62;75;61;48;;64;;;;48;;;68;72;;55;;;60;;;;;;;;50;;;;;55;;;;;;;;59;;;;53;;;;;;
11;GUEST;05/03/2026 15:38:54 CET;05/03/2026 15:39:46 CET;52;4;q9bis;;;mobile;1;1;33;3;4;4;2;;;;;;;1;3;0;0;0;0;1;0;0;0;0;0;0;0;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
